2023-01-14|09:45:13|CoffeeShop|Downtown|D|4.75
2024-06-22|17:22:41|Uber|App|P|-15.20
2022-11-08|12:10:59|Amazon|Online|D|89.99
2020-08-30|20:34:05|Netflix|Subscription|P|-13.99
2025-04-27|08:50:45|Gym|Fitness|D|35.00
2021-05-19|13:14:37|Walmart|Groceries|P|-112.45
2023-12-05|18:06:22|Spotify|Online|P|-9.99
2025-03-11|22:40:02|Venmo|Transfer|D|50.00
2022-07-30|07:33:10|Target|Retail|D|65.75
2024-01-02|10:22:55|Shell|Gas|P|-47.30
2024-01-02|11:22:55|Shell|Gas|P|-47.30
2023-01-21|13:09:46|Fast Food|McDonald's|D|133.29
2025-03-28|20:10:30|Groceries|Costco|D|392.81
2023-02-28|15:02:22|Subscription|Spotify|P|-64.43
2025-01-31|15:33:35|Electronics|Apple|P|-31.62
2024-08-19|07:11:16|Gas|Shell|P|-289.49
2025-11-12|02:49:16|Hardware|Home Depot|D|174.61
2022-03-30|19:12:43|Groceries|Walmart|D|195.87
2025-06-02|23:35:22|Transport|Uber|P|-485.11
2024-04-25|23:51:07|Coffee|Starbucks|D|488.73
2023-07-02|20:28:21|Transport|Uber|D|102.49
2025-11-06|06:49:55|Transport|Uber|P|-16.25
2024-12-02|10:57:08|Subscription|Spotify|P|-465.87
2023-01-27|02:58:18|Gas|Shell|D|389.10
2025-11-25|16:57:47|Online Shopping|Amazon|D|1.62
2023-07-26|23:51:16|Groceries|Walmart|P|-357.73
2025-06-25|22:59:41|Online Shopping|Amazon|D|338.59
2025-08-30|01:32:03|Gas|Shell|D|451.33
2023-06-21|21:27:29|Retail|Target|P|-187.15
2024-02-09|01:24:50|Subscription|Spotify|P|-276.32
2025-02-09|11:03:57|Hardware|Home Depot|D|388.89
2023-06-08|09:06:44|Coffee|Starbucks|D|147.98
2025-03-19|19:18:50|Hardware|Home Depot|P|-63.97
2023-04-28|07:36:27|Electronics|Apple|P|-490.23
2022-06-21|04:03:39|Transport|Lyft|D|195.88
2023-03-20|19:12:37|Online Shopping|Amazon|P|-19.82
2024-12-21|12:49:55|Pharmacy|CVS|D|483.47
2022-06-30|23:32:17|Pharmacy|CVS|D|225.39
2022-02-01|05:04:50|Pharmacy|CVS|P|-193.33
2023-01-22|23:47:26|Fast Food|McDonald's|D|361.96
2022-11-05|13:23:27|Transport|Uber|P|-41.46
2025-03-17|08:51:29|Groceries|Walmart|D|463.74
2023-06-12|00:33:06|Coffee|Starbucks|P|-181.15
2024-08-31|17:18:56|Pharmacy|CVS|D|432.71
2025-06-16|01:37:33|Subscription|Spotify|D|244.70
2025-01-03|23:49:31|Subscription|Spotify|D|56.56
2025-03-09|21:18:48|Groceries|Costco|P|-377.88
2024-07-19|00:44:04|Transport|Lyft|D|259.19
2022-06-22|14:10:06|Groceries|Costco|P|-173.48
2024-07-15|08:09:20|Gas|Shell|D|127.22
2024-01-26|06:04:04|Groceries|Costco|P|-190.56
2025-07-23|05:18:31|Electronics|Apple|D|497.88
2023-06-17|23:55:16|Coffee|Starbucks|P|-432.52
2024-10-25|02:42:36|Gas|Shell|P|-491.03
2022-01-23|06:05:32|Groceries|Costco|P|-137.87
2025-11-04|06:31:53|Retail|Target|P|-313.89
2022-10-07|22:48:29|Electronics|Best Buy|D|185.08
2024-10-12|20:28:14|Pharmacy|CVS|P|-11.92
2025-04-11|11:39:15|Electronics|Apple|D|256.92
2023-01-24|18:56:34|Electronics|Best Buy|D|422.32
2024-12-03|09:14:39|Subscription|Spotify|P|-391.45
2023-11-12|10:19:05|Groceries|Walmart|D|45.13
2022-01-01|13:26:18|Transport|Uber|D|57.49
2023-05-11|19:05:17|Coffee|Starbucks|P|-18.29
2025-02-20|02:00:51|Retail|Target|P|-306.48
2025-08-18|04:04:56|Subscription|Spotify|D|138.52
2023-07-15|07:54:16|Groceries|Walmart|D|335.53
2024-09-23|07:34:38|Gas|Shell|P|-420.46
2025-11-09|12:36:44|Online Shopping|Amazon|P|-106.68
2025-04-03|01:09:42|Hardware|Home Depot|P|-497.38
2023-03-26|16:21:47|Online Shopping|Amazon|D|309.58
2024-01-17|23:00:23|Pharmacy|CVS|P|-197.74
2025-06-11|09:04:59|Electronics|Best Buy|D|88.27
2022-04-17|02:27:59|Coffee|Starbucks|P|-76.60
2024-01-09|05:24:42|Groceries|Walmart|P|-339.24
2022-08-24|01:06:14|Transport|Uber|P|-443.29
2022-01-02|05:10:39|Fast Food|McDonald's|P|-150.66
2023-02-17|02:15:34|Pharmacy|CVS|D|391.61
2023-10-17|01:58:32|Subscription|Spotify|D|273.65
2025-07-17|20:19:25|Transport|Uber|D|345.55
2022-03-15|08:57:37|Electronics|Apple|D|374.36
2022-11-01|10:59:26|Online Shopping|Amazon|P|-460.88
2023-01-21|09:36:41|Transport|Uber|D|437.46
2022-08-24|00:23:00|Subscription|Spotify|P|-445.21
2022-10-03|08:05:35|Groceries|Costco|D|121.79
2022-10-08|18:41:21|Groceries|Costco|D|30.19
2023-12-01|14:14:22|Retail|Target|D|149.78
